x,y,z,plane,x_um,y_um,z_um
3784,2629,1,2,3799.136,2639.516,6.0
3827,2630,1,2,3842.308,2640.52,6.0
3408,2631,3,4,3421.632,2641.524,18.0
3747,2631,3,4,3761.988,2641.524,18.0
3660,2633,1,2,3674.64,2643.532,6.0
3883,2633,1,2,3898.532,2643.532,6.0
3729,2639,1,2,3743.916,2649.556,6.0
3890,2646,1,2,3905.56,2656.584,6.0
3713,2638,1,2,3727.852,2648.552,6.0
3764,2638,2,3,3779.056,2648.552,12.0
3407,2643,2,3,3420.628,2653.572,12.0
3458,2641,1,2,3471.832,2651.564,6.0
3862,2641,3,4,3877.448,2651.564,18.0
3684,2648,3,4,3698.736,2658.592,18.0
3818,2646,1,2,3833.272,2656.584,6.0
3717,2651,2,3,3731.868,2661.604,12.0
3751,2649,1,2,3766.004,2659.596,6.0
3469,2647,3,4,3482.876,2657.588,18.0
3613,2656,2,3,3627.452,2666.624,12.0
4004,2654,2,3,4020.016,2664.616,12.0
3592,2668,3,4,3606.368,2678.672,18.0
3740,2653,1,2,3754.96,2663.612,6.0
3824,2660,3,4,3839.296,2670.64,18.0
3783,2659,2,3,3798.132,2669.636,12.0
3895,2658,2,3,3910.58,2668.632,12.0
3976,2662,1,2,3991.904,2672.648,6.0
3719,2664,1,2,3733.876,2674.656,6.0
3765,2665,1,2,3780.06,2675.66,6.0
4007,2665,1,2,4023.028,2675.66,6.0
3631,2662,4,5,3645.524,2672.648,24.0
3949,2671,1,2,3964.796,2681.684,6.0
3619,2670,1,2,3633.476,2680.68,6.0
3466,2669,1,2,3479.864,2679.676,6.0
3653,2670,2,3,3667.612,2680.68,12.0
3704,2669,1,2,3718.816,2679.676,6.0
3803,2673,2,3,3818.212,2683.692,12.0
3546,2678,1,2,3560.184,2688.712,6.0
3772,2679,1,2,3787.088,2689.716,6.0
3584,2682,1,2,3598.3360000000002,2692.728,6.0
3526,2682,1,2,3540.104,2692.728,6.0
3465,2681,4,5,3478.86,2691.724,24.0
3663,2682,1,2,3677.652,2692.728,6.0
3776,2684,1,2,3791.104,2694.736,6.0
3414,2683,4,5,3427.656,2693.732,24.0
3929,2683,1,2,3944.716,2693.732,6.0
3605,2683,1,2,3619.42,2693.732,6.0
3730,2691,1,2,3744.92,2701.764,6.0
3756,2684,1,2,3771.024,2694.736,6.0
3650,2685,1,2,3664.6,2695.7400000000002,6.0
3691,2684,1,2,3705.764,2694.736,6.0
3540,2686,2,3,3554.16,2696.744,12.0
3558,2693,3,4,3572.232,2703.772,18.0
3610,2690,1,2,3624.44,2700.76,6.0
3597,2693,2,3,3611.388,2703.772,12.0
2447,2691,1,2,2456.788,2701.764,6.0
3509,2693,3,4,3523.036,2703.772,18.0
3915,2695,1,2,3930.66,2705.78,6.0
3942,2692,1,2,3957.768,2702.768,6.0
3860,2704,3,4,3875.44,2714.816,18.0
3632,2696,1,2,3646.528,2706.784,6.0
3394,2698,2,3,3407.576,2708.792,12.0
3457,2697,2,3,3470.828,2707.788,12.0
3529,2699,1,2,3543.116,2709.796,6.0
3929,2702,1,2,3944.716,2712.808,6.0
3899,2701,1,2,3914.596,2711.804,6.0
3590,2715,2,3,3604.36,2725.86,12.0
3544,2705,3,4,3558.176,2715.82,18.0
3479,2703,2,3,3492.916,2713.812,12.0
3727,2705,1,2,3741.908,2715.82,6.0
3877,2711,3,4,3892.508,2721.844,18.0
3509,2710,3,4,3523.036,2720.84,18.0
3688,2710,1,2,3702.752,2720.84,6.0
3945,2713,2,3,3960.78,2723.852,12.0
3491,2714,3,4,3504.964,2724.856,18.0
3623,2714,1,2,3637.492,2724.856,6.0
3646,2714,1,2,3660.584,2724.856,6.0
3525,2725,3,4,3539.1,2735.9,18.0
3390,2716,1,2,3403.56,2726.864,6.0
3555,2721,1,2,3569.22,2731.884,6.0
3705,2722,1,2,3719.82,2732.888,6.0
3451,2718,2,3,3464.804,2728.872,12.0
3661,2723,2,3,3675.6440000000002,2733.892,12.0
2085,2719,1,2,2093.34,2729.876,6.0
3880,2719,1,2,3895.52,2729.876,6.0
3732,2721,1,2,3746.928,2731.884,6.0
3476,2723,1,2,3489.904,2733.892,6.0
3830,2731,1,2,3845.32,2741.924,6.0
3907,2731,1,2,3922.628,2741.924,6.0
3458,2731,1,2,3471.832,2741.924,6.0
3860,2742,2,3,3875.44,2752.968,12.0
3607,2739,2,3,3621.428,2749.956,12.0
2019,2734,1,2,2027.076,2744.936,6.0
3547,2736,1,2,3561.188,2746.944,6.0
3811,2738,2,3,3826.244,2748.952,12.0
